oscillation,date
0.1,08/01/1978
0,09/01/1978
-0.8,10/01/1978
-0.1,11/01/1978
-0.2,12/01/1978
-0.5,01/01/1979
0.6,02/01/1979
-0.5,03/01/1979
-0.7,04/01/1979
0.5,05/01/1979
0.6,06/01/1979
1.3,07/01/1979
-0.7,08/01/1979
0.1,09/01/1979
-0.4,10/01/1979
-0.6,11/01/1979
-0.9,12/01/1979
0.3,01/01/1980
0,02/01/1980
-1.1,03/01/1980
-1.7,04/01/1980
-0.3,05/01/1980
-0.7,06/01/1980
-0.2,07/01/1980
-0.1,08/01/1980
-0.5,09/01/1980
-0.3,10/01/1980
-0.5,11/01/1980
-0.2,12/01/1980
0.3,01/01/1981
-0.5,02/01/1981
-2,03/01/1981
-0.6,04/01/1981
0.8,05/01/1981
1.6,06/01/1981
0.8,07/01/1981
0.4,08/01/1981
0.3,09/01/1981
-0.7,10/01/1981
0.1,11/01/1981
0.4,12/01/1981
1,01/01/1982
0,02/01/1982
0,03/01/1982
-0.1,04/01/1982
-0.6,05/01/1982
-2.5,06/01/1982
-2,07/01/1982
-2.7,08/01/1982
-1.9,09/01/1982
-2.2,10/01/1982
-3.2,11/01/1982
-2.5,12/01/1982
-3.4,01/01/1983
-3.5,02/01/1983
-3.2,03/01/1983
-2.1,04/01/1983
0.9,05/01/1983
-0.5,06/01/1983
-0.9,07/01/1983
-0.4,08/01/1983
0.9,09/01/1983
0.3,10/01/1983
-0.1,11/01/1983
-0.1,12/01/1983
0,01/01/1984
0.4,02/01/1984
-0.8,03/01/1984
0.4,04/01/1984
0,05/01/1984
-1.2,06/01/1984
0,07/01/1984
0.1,08/01/1984
0.1,09/01/1984
-0.6,10/01/1984
0.3,11/01/1984
-0.3,12/01/1984
-0.5,01/01/1985
0.8,02/01/1985
0.2,03/01/1985
1.4,04/01/1985
-0.2,05/01/1985
-1.4,06/01/1985
-0.3,07/01/1985
0.7,08/01/1985
0,09/01/1985
-0.8,10/01/1985
-0.4,11/01/1985
0.1,12/01/1985
0.8,01/01/1986
-1.2,02/01/1986
-0.1,03/01/1986
0.1,04/01/1986
-0.6,05/01/1986
1,06/01/1986
0.1,07/01/1986
-0.9,08/01/1986
-0.5,09/01/1986
0.6,10/01/1986
-1.6,11/01/1986
-1.6,12/01/1986
-0.7,01/01/1987
-1.4,02/01/1987
-2,03/01/1987
-2.7,04/01/1987
-2,05/01/1987
-2.7,06/01/1987
-1.8,07/01/1987
-1.7,08/01/1987
-1.1,09/01/1987
-0.7,10/01/1987
-0.1,11/01/1987
-0.6,12/01/1987
-0.3,01/01/1988
-0.6,02/01/1988
0.1,03/01/1988
0,04/01/1988
1.1,05/01/1988
-0.3,06/01/1988
1.1,07/01/1988
1.4,08/01/1988
1.9,09/01/1988
1.5,10/01/1988
1.9,11/01/1988
1.1,12/01/1988
1.5,01/01/1989
1.1,02/01/1989
0.6,03/01/1989
1.6,04/01/1989
1.2,05/01/1989
0.5,06/01/1989
0.8,07/01/1989
-0.8,08/01/1989
0.6,09/01/1989
0.6,10/01/1989
-0.4,11/01/1989
-0.7,12/01/1989
-0.2,01/01/1990
-2.4,02/01/1990
-1.2,03/01/1990
0,04/01/1990
1.1,05/01/1990
0,06/01/1990
0.5,07/01/1990
-0.5,08/01/1990
-0.8,09/01/1990
0.1,10/01/1990
-0.7,11/01/1990
-0.4,12/01/1990
0.6,01/01/1991
-0.1,02/01/1991
-1.4,03/01/1991
-1,04/01/1991
-1.5,05/01/1991
-0.5,06/01/1991
-0.2,07/01/1991
-0.9,08/01/1991
-1.8,09/01/1991
-1.5,10/01/1991
-0.8,11/01/1991
-2.3,12/01/1991
-3.4,01/01/1992
-1.4,02/01/1992
-3,03/01/1992
-1.4,04/01/1992
0,05/01/1992
-1.2,06/01/1992
-0.8,07/01/1992
0,08/01/1992
0,09/01/1992
-1.9,10/01/1992
-0.9,11/01/1992
-1.1,12/01/1992
